trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-012,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-258,MARKET,BUY,1,GTC,True,False,1,TAKER,802.39,0.0,['0.80 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6abbc1f1-d987-4b2b-b2a6-74403ed436de,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-013,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-259,MARKET,BUY,1,GTC,False,False,1,TAKER,802.39,0.0,['0.80 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f949ce26-2aab-4d20-9527-2dbc5bdee642,2014-01-02 00:00:00+00:00,2014-01-02 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-014,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-285,MARKET,SELL,1,GTC,True,False,1,TAKER,771.39,0.0,['0.77 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,17f6afa3-ffd2-46d6-bb6c-5ff600d7739a,2014-01-27 00:00:00+00:00,2014-01-27 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-015,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-286,MARKET,SELL,1,GTC,False,False,1,TAKER,771.39,0.0,['0.77 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b663aa79-8839-4ef0-9eb6-ac9e6613c6fe,2014-01-27 00:00:00+00:00,2014-01-27 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-016,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-331,MARKET,BUY,1,GTC,True,False,1,TAKER,632.1,0.0,['0.63 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,27da507c-955d-416f-9550-8c5d3a4a80eb,2014-03-12 00:00:00+00:00,2014-03-12 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-017,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-332,MARKET,BUY,1,GTC,False,False,1,TAKER,632.1,0.0,['0.63 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,21472127-d5ac-4ccc-8506-cf3c696596ed,2014-03-12 00:00:00+00:00,2014-03-12 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-018,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-339,MARKET,SELL,1,GTC,True,False,1,TAKER,614.83,0.0,['0.61 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5c479961-72a7-466c-8f3a-90ff90febd92,2014-03-18 00:00:00+00:00,2014-03-18 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-019,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-340,MARKET,SELL,1,GTC,False,False,1,TAKER,614.83,0.0,['0.61 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2dfe5d47-6aba-4a89-bbb3-b3570f4e9494,2014-03-18 00:00:00+00:00,2014-03-18 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-020,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-374,MARKET,BUY,1,GTC,True,False,1,TAKER,498.17,0.0,['0.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bd87bf2d-0776-48c5-9f14-99bb2afd3315,2014-04-20 00:00:00+00:00,2014-04-20 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-021,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-375,MARKET,BUY,1,GTC,False,False,1,TAKER,498.17,0.0,['0.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ea8cdfe7-fe1a-4079-947c-e9e9d070bab6,2014-04-20 00:00:00+00:00,2014-04-20 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-022,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-382,MARKET,SELL,1,GTC,True,False,1,TAKER,458.6,0.0,['0.46 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ddeca0d6-673f-4c8e-86c1-bee6c83b9e27,2014-04-26 00:00:00+00:00,2014-04-26 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-023,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-383,MARKET,SELL,1,GTC,False,False,1,TAKER,458.6,0.0,['0.46 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5e4fcbef-6210-421d-8a52-72835bf28b15,2014-04-26 00:00:00+00:00,2014-04-26 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-024,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-408,MARKET,BUY,1,GTC,True,False,1,TAKER,485.72,0.0,['0.49 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,09b9a07e-b4ca-42b3-b49d-63114546dddb,2014-05-20 00:00:00+00:00,2014-05-20 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-025,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-409,MARKET,BUY,1,GTC,False,False,1,TAKER,485.72,0.0,['0.49 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a21f5599-cf9c-48b0-96a6-3a68e27fafe2,2014-05-20 00:00:00+00:00,2014-05-20 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-026,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-445,MARKET,SELL,1,GTC,True,False,1,TAKER,582.36,0.0,['0.58 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f367b022-1823-4b5e-b603-3ce38cd38876,2014-06-24 00:00:00+00:00,2014-06-24 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-027,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-446,MARKET,SELL,1,GTC,False,False,1,TAKER,582.36,0.0,['0.58 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,af95b457-c65c-486e-9ead-abe3928f681a,2014-06-24 00:00:00+00:00,2014-06-24 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-028,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-453,MARKET,BUY,1,GTC,True,False,1,TAKER,639.8,0.0,['0.64 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,550acadc-68d8-4038-8d93-b6759661e201,2014-06-30 00:00:00+00:00,2014-06-30 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-029,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-454,MARKET,BUY,1,GTC,False,False,1,TAKER,639.8,0.0,['0.64 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4b6179c4-7777-4961-8496-04a9903c01fe,2014-06-30 00:00:00+00:00,2014-06-30 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-030,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-479,MARKET,SELL,1,GTC,True,False,1,TAKER,601.73,0.0,['0.60 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f906eb6f-2d44-4100-a49b-27eacc45ac61,2014-07-24 00:00:00+00:00,2014-07-24 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-031,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-480,MARKET,SELL,1,GTC,False,False,1,TAKER,601.73,0.0,['0.60 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4e5df831-6df2-4643-b572-c17b21c8517a,2014-07-24 00:00:00+00:00,2014-07-24 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-032,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-570,MARKET,BUY,1,GTC,True,False,1,TAKER,386.48,0.0,['0.39 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c9cd8256-7db3-43c6-88d8-a533abed3928,2014-10-21 00:00:00+00:00,2014-10-21 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-033,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-571,MARKET,BUY,1,GTC,False,False,1,TAKER,386.48,0.0,['0.39 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5e9c4b11-5c21-4e89-8432-4dafbdc9b008,2014-10-21 00:00:00+00:00,2014-10-21 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-034,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-574,MARKET,SELL,1,GTC,True,False,1,TAKER,358.42,0.0,['0.36 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bacbc9a0-4ec2-4fdc-a810-13d1b79049b3,2014-10-23 00:00:00+00:00,2014-10-23 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-035,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-575,MARKET,SELL,1,GTC,False,False,1,TAKER,358.42,0.0,['0.36 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9dbfcfe5-cf56-4438-b54c-6c18ab4355ea,2014-10-23 00:00:00+00:00,2014-10-23 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-036,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-596,MARKET,BUY,1,GTC,True,False,1,TAKER,423.56,0.0,['0.42 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,15d6e912-9826-4271-a2d7-8451bf22f2b0,2014-11-12 00:00:00+00:00,2014-11-12 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-037,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-597,MARKET,BUY,1,GTC,False,False,1,TAKER,423.56,0.0,['0.42 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,07509df0-2d70-439f-970b-cf400225a9d7,2014-11-12 00:00:00+00:00,2014-11-12 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-038,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-608,MARKET,SELL,1,GTC,True,False,1,TAKER,352.92,0.0,['0.35 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0b96e918-96b6-4a2a-84f6-24e08b49506b,2014-11-22 00:00:00+00:00,2014-11-22 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-039,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-609,MARKET,SELL,1,GTC,False,False,1,TAKER,352.92,0.0,['0.35 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,323ab517-8904-4ec5-a405-df47afa233f0,2014-11-22 00:00:00+00:00,2014-11-22 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-040,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-612,MARKET,BUY,1,GTC,True,False,1,TAKER,376.9,0.0,['0.38 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ced9f884-2b53-41fc-90e4-4797f73193e0,2014-11-24 00:00:00+00:00,2014-11-24 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-041,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-613,MARKET,BUY,1,GTC,False,False,1,TAKER,376.9,0.0,['0.38 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,42ff4a7e-2ce5-4f99-9829-1e39591bbb86,2014-11-24 00:00:00+00:00,2014-11-24 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-042,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-629,MARKET,SELL,1,GTC,True,False,1,TAKER,352.22,0.0,['0.35 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,570f79bd-59b0-47d8-baf2-413c3c3c5123,2014-12-09 00:00:00+00:00,2014-12-09 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-043,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-630,MARKET,SELL,1,GTC,False,False,1,TAKER,352.22,0.0,['0.35 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,eea567aa-74d2-426f-b365-8c33241e2afa,2014-12-09 00:00:00+00:00,2014-12-09 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-044,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-701,MARKET,BUY,1,GTC,True,False,1,TAKER,243.61,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b305bb6a-94f6-4ffc-9295-4fbd24a8e469,2015-02-17 00:00:00+00:00,2015-02-17 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-045,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-702,MARKET,BUY,1,GTC,False,False,1,TAKER,243.61,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,589f836a-d7de-4360-951c-bbbf40599c33,2015-02-17 00:00:00+00:00,2015-02-17 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-046,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-736,MARKET,SELL,1,GTC,True,False,1,TAKER,267.96,0.0,['0.27 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c4329821-dec7-43d6-9835-bc1f45c71a59,2015-03-22 00:00:00+00:00,2015-03-22 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-047,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-737,MARKET,SELL,1,GTC,False,False,1,TAKER,267.96,0.0,['0.27 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3ee7f93b-0e40-466c-a11f-9baffb76de18,2015-03-22 00:00:00+00:00,2015-03-22 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-048,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-781,MARKET,BUY,1,GTC,True,False,1,TAKER,239.02,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,02f41720-28ea-4486-8a2c-0a6845449c3f,2015-05-04 00:00:00+00:00,2015-05-04 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-049,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-782,MARKET,BUY,1,GTC,False,False,1,TAKER,239.02,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,17ff283b-35d2-4aeb-a0b4-b3f4803dfbff,2015-05-04 00:00:00+00:00,2015-05-04 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-050,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-798,MARKET,SELL,1,GTC,True,False,1,TAKER,231.95,0.0,['0.23 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2a55c0f2-f0f3-4a0e-922d-a6f9c7d9eb0a,2015-05-19 00:00:00+00:00,2015-05-19 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-051,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-799,MARKET,SELL,1,GTC,False,False,1,TAKER,231.95,0.0,['0.23 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,498d1377-c1bf-452e-84dc-5e27a9a94da4,2015-05-19 00:00:00+00:00,2015-05-19 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-052,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-803,MARKET,BUY,1,GTC,True,False,1,TAKER,240.35,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8d55a71a-389d-4cb4-86b4-bd98463dc798,2015-05-22 00:00:00+00:00,2015-05-22 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-053,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-804,MARKET,BUY,1,GTC,False,False,1,TAKER,240.35,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7c2f5907-2ff0-4a19-a329-4317d6cfc787,2015-05-22 00:00:00+00:00,2015-05-22 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-054,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-813,MARKET,SELL,1,GTC,True,False,1,TAKER,233.35,0.0,['0.23 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,627120a0-91ce-4352-b2b6-d4bc918fbd7d,2015-05-30 00:00:00+00:00,2015-05-30 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-055,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-814,MARKET,SELL,1,GTC,False,False,1,TAKER,233.35,0.0,['0.23 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bb32616f-968a-403e-9728-93714c52c8c6,2015-05-30 00:00:00+00:00,2015-05-30 00:00:00+00:00
BACKTESTER-001,EMACrossStrategy-000,BTCUSD.CRYPTO,CRYPTO-1-056,BTCUSD.CRYPTO-EMACrossStrategy-000,CRYPTO-001,CRYPTO-1-831,MARKET,BUY,1,GTC,True,False,1,TAKER,236.82,0.0,['0.24 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f7201bce-2266-4f31-aaba-02a0ebaccee1,2015-06-15 00:00:00+00:00,2015-06-15 00:00:00+00:00
