total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
99119.74,142.53,98977.21,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '142.53', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99126.00,0.00,99126.00,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99125.60,140.20,98985.40,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '140.20', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99151.37,0.00,99151.37,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99150.94,149.37,99001.57,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '149.37', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99138.56,0.00,99138.56,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99138.12,153.55,98984.57,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '153.55', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99172.40,0.00,99172.40,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99171.93,165.71,99006.22,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '165.71', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99020.09,0.00,99020.09,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99019.47,218.64,98800.83,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '218.64', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
98992.40,0.00,98992.40,USD,CRYPTO-001,MARGIN,USD,[],False,{}
98991.80,209.37,98782.43,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '209.37', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
98811.47,0.00,98811.47,USD,CRYPTO-001,MARGIN,USD,[],False,{}
98810.69,272.22,98538.47,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '272.22', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
99020.96,0.00,99020.96,USD,CRYPTO-001,MARGIN,USD,[],False,{}
99019.97,346.16,98673.81,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '346.16', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
98907.66,0.00,98907.66,USD,CRYPTO-001,MARGIN,USD,[],False,{}
98906.56,385.08,98521.48,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '385.08', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
98987.83,0.00,98987.83,USD,CRYPTO-001,MARGIN,USD,[],False,{}
98986.65,413.94,98572.71,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '413.94', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
97794.40,0.00,97794.40,USD,CRYPTO-001,MARGIN,USD,[],False,{}
