USERID,SYMBOL,EXCHANGE,TRANSACTION,QUANTITY,LOTS,MULTIPLIER,OrderID,ENTRY TIME,ENTRY PRICE,ENTRY REASON,OPTION TYPE,STRIKE,PORTFOLIO NAME,STRATEGY,EXIT TIME,AVG EXIT PRICE,EXIT REASON,PNL,_IS_HEDGE,_PARENT_ID
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-f977b535-0106-4e10-9736-6b7fe4e8e846,11-01-2019 00:00:00,3687.37,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,18-01-2019 00:00:00,3657.84,Strategy Signal,22.18,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-b0a9f9ee-e1ef-409b-a8a4-f050a88f8157,11-01-2024 00:00:00,46368.59,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,19-01-2024 00:00:00,41618.41,Strategy Signal,-4838.17,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-01c3810b-00b9-4437-88d5-20267a85788b,11-02-2014 00:00:00,672.17,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,21-02-2014 00:00:00,574.16,Strategy Signal,-99.25,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-5197cbd0-aa61-48cb-8f29-d5dc695cb878,11-02-2015 00:00:00,219.18,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,12-02-2015 00:00:00,221.76,Strategy Signal,2.14,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-8a18f430-2ea4-4e17-a994-69a4736039d5,11-02-2019 00:00:00,3648.43,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,12-02-2019 00:00:00,3653.53,Strategy Signal,-2.2,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-5feda3e6-f658-4673-84d7-c8a77a688887,11-03-2020 00:00:00,7911.43,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,25-03-2020 00:00:00,6681.06,Strategy Signal,1215.78,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-039b4970-efd9-4d3a-b274-a8ea3adb92b3,11-03-2025 00:00:00,82862.21,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,20-03-2025 00:00:00,84167.19,Strategy Signal,-1472.01,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-47c7dc64-6dfd-4038-807d-4127dfa4c09b,12-01-2017 00:00:00,804.83,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,14-01-2017 00:00:00,818.41,Strategy Signal,-15.2,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-1e68b1e6-eba4-4f8b-8189-68005c30193e,12-04-2019 00:00:00,5089.54,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,24-04-2019 00:00:00,5464.87,Strategy Signal,-385.88,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-07b7ebee-157c-43fe-a369-b9df421fe8e5,12-07-2024 00:00:00,57899.47,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,17-07-2024 00:00:00,64118.79,Strategy Signal,-6341.34,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-6f6c77eb-646f-4367-8fa3-370cd1a90cc8,12-08-2015 00:00:00,266.38,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,25-08-2015 00:00:00,221.61,Strategy Signal,-45.26,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-43598c91-1866-41f4-a3b6-cce879fb65c2,12-08-2019 00:00:00,11382.62,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,15-08-2019 00:00:00,10311.55,Strategy Signal,-1092.76,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-80fdb6cc-726d-4b50-9a22-2e0d6bb72bbe,12-10-2015 00:00:00,245.31,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,26-10-2015 00:00:00,285.3,Strategy Signal,39.45,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-dd2ac87c-e4bb-407c-8320-e8929ec90198,12-10-2019 00:00:00,8336.56,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,28-10-2019 00:00:00,9256.15,Strategy Signal,-937.19,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-83ae5705-7e84-495a-a155-471475317643,12-11-2024 00:00:00,87955.81,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,24-11-2024 00:00:00,98013.82,Strategy Signal,9872.04,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-da1902f4-01fe-4020-9e50-bdc9575808b4,13-02-2024 00:00:00,49742.44,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,17-03-2024 00:00:00,68390.62,Strategy Signal,18530.05,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-bcbfa5d3-05e9-4810-88b4-a839d7c2195a,13-04-2018 00:00:00,7895.96,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,26-04-2018 00:00:00,9281.51,Strategy Signal,1368.37,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-5e6c36c7-bd01-48fc-975b-93a344783e48,13-05-2017 00:00:00,1804.91,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,21-05-2017 00:00:00,2041.2,Strategy Signal,-240.13,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-88fec3df-b22a-4e68-a3e9-7dae4f52876c,13-06-2025 00:00:00,106090.97,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,14-06-2025 00:00:00,105472.41,Strategy Signal,407.0,False,
